
 ** NVTX Range Kernel Summary (nvtx_kern_sum):

+-------------------------------+---------+---------+---------+-----------+-----------+-----------------+-------------+-------------+----------+-----------+-------------+------------------------------------------------------------------------------------------------------+
|          NVTX Range           |  Style  |   PID   |   TID   | NVTX Inst | Kern Inst | Total Time (ns) |  Avg (ns)   |  Med (ns)   | Min (ns) | Max (ns)  | StdDev (ns) |                                             Kernel Name                                              |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     2,160 |       5,522,631 |     2,556.8 |     2,528.0 |    2,303 |     3,680 |       138.3 | void xmma__5x_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_2<xmma__5x_cudnn::im… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |       135 |       5,282,584 |    39,130.3 |    39,071.0 |   38,047 |    40,223 |       407.2 | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |     2,160 |       4,464,068 |     2,066.7 |     2,048.0 |    1,855 |     2,752 |        96.1 | void xmma__5x_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_0<xmma__5x_cudnn::im… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |       135 |       2,366,368 |    17,528.7 |    17,471.0 |   17,088 |    20,000 |       391.9 | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |       136 |       2,181,696 |    16,041.9 |    14,688.0 |   13,792 |   194,715 |    15,438.6 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |         5 |       1,456,253 |   291,250.6 |   291,001.0 |  290,617 |   292,313 |       673.3 | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |         5 |         965,127 |   193,025.4 |   193,435.0 |  189,851 |   194,779 |     1,866.2 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<ch… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |         6 |         682,608 |   113,768.0 |   133,709.0 |   12,096 |   135,357 |    49,813.3 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |        10 |         667,758 |    66,775.8 |    66,302.5 |   45,727 |    92,413 |    21,767.4 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |         5 |         233,402 |    46,680.4 |    46,974.0 |   45,855 |    47,199 |       587.9 | void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrappe… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |         1 |          80,766 |    80,766.0 |    80,766.0 |   80,766 |    80,766 |         0.0 | void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void … |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |         1 |          53,950 |    53,950.0 |    53,950.0 |   53,950 |    53,950 |         0.0 | void at::native::<unnamed>::write_indices<long>(long *, at::native::<unnamed>::TensorDims<T1>, int,… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |         2 |          38,463 |    19,231.5 |    19,231.5 |   16,479 |    21,984 |     3,892.6 | void at_cuda_detail::cub::detail::select::DeviceSelectSweepKernel<at_cuda_detail::cub::detail::sele… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |         1 |          14,784 |    14,784.0 |    14,784.0 |   14,784 |    14,784 |         0.0 | void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |         2 |          11,072 |     5,536.0 |     5,536.0 |    4,768 |     6,304 |     1,086.1 | void at_cuda_detail::cub::detail::reduce::DeviceReduceKernel<at_cuda_detail::cub::detail::reduce::p… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |         2 |           5,375 |     2,687.5 |     2,687.5 |    2,687 |     2,688 |         0.7 | void at_cuda_detail::cub::detail::reduce::DeviceReduceSingleTileKernel<at_cuda_detail::cub::detail:… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |         1 |           4,959 |     4,959.0 |     4,959.0 |    4,959 |     4,959 |         0.0 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::bitwise_not_kernel_cuda(at::Tens… |
| :inference_3d_fullres         | PushPop | 406,599 | 407,082 |         1 |         2 |           4,480 |     2,240.0 |     2,240.0 |    2,240 |     2,240 |         0.0 | void at_cuda_detail::cub::detail::scan::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<… |
| :inference_3d_lowres          | PushPop | 406,599 | 407,082 |         1 |     8,640 |   9,810,402,960 | 1,135,463.3 | 1,131,349.0 |  262,650 | 2,021,683 |   867,940.1 | void cudnn::bn_fw_tr_1C11_kernel_NCHW<__half, float, int, (int)512, (bool)1, (int)1, (bool)1>(cudnn… |
